"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"16","1002034065",12.3333333333333,10,15,23.3333333333333,15,35,28.3333333333333,20,35,55,35,65,40,35,38,50,40,45,35,40,55,45
"17","1002130477",NA,NA,NA,25,15,40,29,15,40,50,40,60,50,40,45,55,48,60,NA,45,55,55
"18","1002155243",15,15,15,20,20,20,25,10,40,25,15,35,40,45,50,65,48,55,50,50,57,55
"19","1002163129",13.3333333333333,10,15,15,15,15,23.3333333333333,10,40,30,20,35,43,47,37,78,54,45,25,25,35,30
"20","1002793265",NA,NA,NA,40,40,40,NA,NA,NA,30,30,30,40,50,45,60,50,50,NA,55,60,55
"21","100306195",26.6666666666667,20,30,54.3333333333333,35,68,30,30,30,40,40,40,60,70,78,60,67,50,55,70,55,60
"22","1005706694",57.6666666666667,40,68,40,40,40,55.3333333333333,36,65,41.6666666666667,30,60,89,75,71,82,82,60,60,50,55,55
"23","1005873832",NA,NA,NA,27.5,15,40,25,10,40,15,15,15,25,NA,30,40,35,35,NA,30,15,27
"24","1005934818",15,15,15,36.6666666666667,35,40,27.5,20,35,29,12,40,40,30,78,54,50,55,45,60,45,50
"25","1006233749",15,15,15,NA,NA,NA,15,15,15,65,65,65,50,40,45,55,48,50,35,20,55,45
"26","10068285",17.5,15,20,21.25,15,40,21.6666666666667,15,30,15,15,15,20,25,30,35,28,40,40,40,35,40
"27","1007132436",NA,NA,NA,30,30,30,20,15,30,25,20,30,55,NA,50,60,52,55,NA,65,55,55
"28","1007175950",25,10,40,16.6666666666667,15,20,19,10,30,52.5,40,65,60,55,50,65,58,55,65,60,70,63
"29","1007908804",NA,NA,NA,20,20,20,18.3333333333333,15,20,45,30,65,15,20,10,30,19,40,NA,NA,60,40
"30","1010032037",15,15,15,NA,NA,NA,NA,NA,NA,30,30,30,40,35,30,45,40,NA,45,NA,50,45
"31","1010119253",20,20,20,20,20,20,NA,NA,NA,65,65,65,55,60,50,90,64,60,60,68,72,68
"32","10122125",14,10,20,52.5,40,65,12.5,10,15,62.5,60,65,33,40,45,60,45,12,55,65,65,44
"33","1015186975",22.5,10,35,40,40,40,NA,NA,NA,15,15,15,40,35,45,50,40,55,60,60,57,60
"34","1015193737",26.6666666666667,15,35,35,35,35,64,60,68,23.3333333333333,15,35,76,71,45,60,63,75,45,45,45,50
"35","1017135726",15,10,20,15,15,15,NA,NA,NA,40,40,40,48,58,80,75,65,55,55,50,55,55
"36","1017152403",40,40,40,NA,NA,NA,15,15,15,30,30,30,40,80,20,62,51,50,75,25,55,50
"37","1017154497",17.5,15,20,NA,NA,NA,26.6666666666667,15,35,40,40,40,15,25,10,30,20,45,30,0,30,25
"38","1017179652",30,20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,20,47,NA,60,NA,45,55
"39","1017179966",15,15,15,NA,NA,NA,NA,NA,NA,65,65,65,NA,79,NA,85,81,NA,70,NA,70,70
"40","1017190314",15,15,15,35,35,35,NA,NA,NA,NA,NA,NA,58,42,78,33,53,65,45,65,40,55
"41","1017192472",15,15,15,15,15,15,NA,NA,NA,10,10,10,43,54,48,25,43,50,45,35,22,35
"42","1017206637",12.5,10,15,27.5,15,40,NA,NA,NA,15,15,15,35,38,28,23,31,50,50,45,38,42
"43","1017212544",10,10,10,35,35,35,NA,NA,NA,62,62,62,27,22,37,23,27,55,30,45,45,45
"44","1017216558",15,15,15,35,35,35,NA,NA,NA,35,35,35,57,47,58,68,58,45,40,45,47,45
"45","1017233148",15,15,15,35,35,35,30,30,30,65,65,65,61,47,58,85,63,55,48,55,75,55
"46","1017239115",40,40,40,NA,NA,NA,30,30,30,65,65,65,65,72,NA,77,71,58,63,NA,63,60
"47","1017247299",NA,NA,NA,40,40,40,NA,NA,NA,65,65,65,87,NA,53,74,71,80,NA,60,65,74
"48","1017248051",42.5,20,65,22.5,15,30,NA,NA,NA,35,35,35,43,37,40,55,44,NA,55,57,65,63
"49","1017266133",15,10,20,15,15,15,35,35,35,NA,NA,NA,39,33,43,52,42,50,63,55,55,57
