"","start_p10","hh_id","tratamiento_control","tratamiento_control.x","city","pledge","edad_hh","mujer_hh","escolaridad_hh","edad","edad_sq","afro","mujeres_1","educacionninguno","educacionprimaria_o_menos","educacionsecundaria_completa","educacionsecundaria_incompleta","educaciontecnica_teconologica","educacionuniversidad","educacionprimaria_o_menos_ninguno","hh_size","nino_0_a_5","nino_0_a_6","nino_13_a_17","nino_7_a_12","nino_18_a_24","nino_25_a_40","nino_41_a_65","nino_66","nino","nino_0_a_14","joven_15_a_24","adulto_25_59","adulto_mayor_60","adulto","adulto_mayor_65","adulto_mayor","hijos","padres","otros","moda_cmh_p9","construccion","poblacion_edad_trabajar_1","poblacion_edad_trabajar_juvenil_1","desempleo_1","desempleo_juvenil_1","participacion_laboral_1","participacion_laboral_juvenil_1","empleado_con_contrato_formal_1","empleado_con_seguridad_social_1","empleado_insatisfecho_laboralmente_1","empleado_con_sub_empleado_1_1","empleado_con_ingreso_menor_salario_minimo_1","empleado_canales_busqueda_formales_1","asalariados_1","n","empleados_1","desempleo_dummy","construccion_dummy","piso_tierra","piso_mejor","cocina_prov","bano_bald","bano_todas","satisfaccion_hh","n_rooms","n_bedrooms","n_baths","n_living","sspp","percepcion_agua","cocina_mejor","modd_ig_p4","modd_ig_p48","modd_ig_p49","modd_ig_p56","pobreza_modera_y_extrema_sisben","fuente_informal","ing","ing_insuf","gast","ingr_alimento","gast_sal","deuda","valor_deuda","fuente_ingreso","porct_ingreso_fuente","financiacion_deuda","precio_venta","ingreso_futuro","total_ahorro","meses_ahorro","cuenta_ahorro","tratamiento_control.y","start_p10.y","visita_medico","diarrea","vomito","fiebre","irritaciones","i_health_perc","i_health_perc_sum","edad_0_a_6","edad_7_a_12","edad_13_a_17","edad_15_a_18","edad_18_a_24","edad_25_a_40","edad_41_a_65","edad_66","visita_medico_edad_0_a_6","visita_medico_edad_7_a_12","visita_medico_edad_13_a_17","visita_medico_edad_15_a_18","visita_medico_edad_18_a_24","visita_medico_edad_25_a_40","visita_medico_edad_41_a_65","visita_medico_edad_66","diarrea_edad_0_a_6","diarrea_edad_7_a_12","diarrea_edad_13_a_17","diarrea_edad_15_a_18","diarrea_edad_18_a_24","diarrea_edad_25_a_40","diarrea_edad_41_a_65","diarrea_edad_66","vomito_edad_0_a_6","vomito_edad_7_a_12","vomito_edad_13_a_17","vomito_edad_15_a_18","vomito_edad_18_a_24","vomito_edad_25_a_40","vomito_edad_41_a_65","vomito_edad_66","fiebre_edad_0_a_6","fiebre_edad_7_a_12","fiebre_edad_13_a_17","fiebre_edad_15_a_18","fiebre_edad_18_a_24","fiebre_edad_25_a_40","fiebre_edad_41_a_65","fiebre_edad_66","irritaciones_edad_0_a_6","irritaciones_edad_7_a_12","irritaciones_edad_13_a_17","irritaciones_edad_15_a_18","irritaciones_edad_18_a_24","irritaciones_edad_25_a_40","irritaciones_edad_41_a_65","irritaciones_edad_66","i_health_perc_edad_0_a_6","i_health_perc_edad_7_a_12","i_health_perc_edad_13_a_17","i_health_perc_edad_15_a_18","i_health_perc_edad_18_a_24","i_health_perc_edad_25_a_40","i_health_perc_edad_41_a_65","i_health_perc_edad_66","i_health_perc_sum_edad_0_a_6","i_health_perc_sum_edad_7_a_12","i_health_perc_sum_edad_13_a_17","i_health_perc_sum_edad_15_a_18","i_health_perc_sum_edad_18_a_24","i_health_perc_sum_edad_25_a_40","i_health_perc_sum_edad_41_a_65","i_health_perc_sum_edad_66","i_healh","i_healh_edad_0_a_6","i_healh_edad_7_a_12","i_healh_edad_13_a_17","i_healh_edad_15_a_18","i_healh_edad_18_a_24","i_healh_edad_25_a_40","i_healh_edad_41_a_65","i_healh_edad_66","moda_cmh_p12","seguridad_barrio","instituciones_gobierno","instituciones_empresas_serv_pub","instituciones_policia","instituciones_jac","instituciones_asociaciones_locales","instituciones_iglesias","imagen_privados","privadas_bienestar","satisfecho_barrio","relacion_vecinos","satisfaccion","animo","nervioso","moral_baja","calmado","feliz","vitalidad","satisfecho","cosas_bien","no_controlar_cosas","seguridad","dificultades","energia","agotado","cansado","reducir_trabajo","baja_productividad","trabajo_sin_cuidado","i_vitalidad","i_rol_emocional","i_salud_mental","i_animo","i_satisfaccion","i_extra","i_mental","moda_cmh_p7","modg_ef_p2","modg_ef_p3","modg_ef_p4","modg_ef_p5","modg_ef_p6","modg_ef_p7","modg_ef_p25","modg_ef_p26","modg_ef_p27","modg_ef_p28","modg_ef_p29","modg_ef_p30","modg_ef_p8","modg_ef_p9","modg_ef_p10","modg_ef_p11","modg_ef_p12","modg_ef_p13","modg_ef_p14","modg_ef_p15","modg_ef_p16","modg_ef_p17","escucha","aceptacion","satisfaccion_comportamiento","mejorar_tristeza","saber_problemas","apoyo","i_ambiente_familiar","economic_empowerment_index","family_functionality","family_violence_index_C","family_responsiveness_index_C","family_functionality_index_c","family_functionality_index","oficios_frecuente","oficios_mejoramiento_frecuente","trabajo_frecuente","n_oficios","n_trabajo","oficio_first","oficio_second","oficio_third","horas_oficios","horas_trabajo","oficio_first_dummy","oficio_second_dummy","oficio_third_dummy","n_per_room","venta","area","arriendo","aux_nino"
"349","21893072","uuid:8df4f61c-2f67-4705-b09b-04a961636d63","1","1",1,3,70,1,"primaria_o_menos",46,2420.66666666667,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,3,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333,1,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,138,0,3,0,0,,0.666666666666667,,0,1,0,0,0,0,0,3,2,FALSE,FALSE,0,1,0,0,1,3,6,2,1,1,,4,0,2,1,,,0,,2,0,2,1,1,0,,2,30,,70000000,4,1,,,"1",,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0.333333333333333,,,,0,,0,,0.333333333333333,,,,0,,0,,0,,0,0,0,0,0,0,0,,,,0,,0,,0.333333333333333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,1,,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,2,2,3,3.5,2.5,3,4.5,3.5,2.5,3.5,3.5,3,2.5,2.5,3.5,3,2.5,2.5,1.5,1,1.5,0.46875,0.0833333333333333,0.59375,0.375,0.625,0.46875,0.433823529411765,1.66666666666667,3,3,2,1,3,3,1,1,1,1,1,1,1,1,4,4,3,3,3,3,1,1,4,4,3,2,4,4,0.625,0.25,39,0.666666666666667,0.625,0.5,3,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0,90,,TRUE,FALSE,FALSE,0.5,6820000,25,4e+05,TRUE
"350","21906091","uuid:bcb04ccb-2ad3-4251-a0ec-fd36d29ea0a5","0","0",1,1,83,1,"ninguno",65,4549,0,0.5,0.5,0.5,0,0,0,0,1,2,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0,130,0,2,0,0,,0.5,,0,1,0,0,1,0,0,2,1,FALSE,FALSE,0,1,0,1,1,4,4,1,1,1,,3,0,4,4,1,1,0.5,1,1,0,3,2,1,1,6,1,40,1,50000000,2,4,1,1,"0",,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,,,,0,,,0,0.5,,,,0,,,0,0,,0,0,0,0,0,0,0,,,,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,2,2,5,4,4,5,5,5,5,5,4,4,5,4,5,5,5,3,2,2,2,0.875,0.25,1,0.75,0.75,0.875,0.779411764705882,1.5,3,3,3,3,3,3,1,1,0,0,0,0,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,0.75,0.0833333333333333,56,1,0.75,0.875,4,1,1,0.5,0.5,0.5,0.5,0.5,0,0,36,TRUE,TRUE,FALSE,0.5,8525000,20,5e+05,TRUE
"351","21910729","uuid:4d66a1be-b2a6-4fc6-b345-feba66c092f1","1","1",1,3,71,1,"ninguno",38.6666666666667,2078,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,3,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,116,,2,0,,,0,,,,,,,,,3,0,,,0,1,0,0,1,4,5,3,1,1,,3,0,1,1,,,0.333333333333333,,1,0,2,4,1,0,,2,60,,2000000,5,1,,,"1",,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,,,0,0,,0,,0,,,0,0,,0,,0,,0,0,0,0,0,0,0,,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,1,2,2,3,4,4,5,3,5,5,1,5,3,3,4,3,1,3,3,2,2,2,0.25,0.25,0.875,0.75,1,0.5625,0.544117647058823,1.66666666666667,3,3,3,3,3,3,1,0,0,0,0,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,0.75,0.0833333333333333,56,1,0.75,0.875,4,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0,40,,TRUE,FALSE,FALSE,0.6,6820000,30,4e+05,TRUE
"352","21910873","uuid:0aeb85ec-6637-4a07-973b-72e27a0b9845","1","1",1,3,65,1,"primaria_o_menos",42.5,2312.5,0,0.5,0,0.5,0,0.5,0,0,0.5,2,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,1,0.5,0,0.5,0.5,0,85,,2,1,,,0,0,,,,,,,,2,0,,,0,1,1,0,1,4,5,2,1,1,,4,0,2,1,,,0,,5,1,7,3,1,0,,5,80,,30000000,4,1,,,"1",,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,,,,0,0,,0,,,,,0,0,,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,2,3,4,2,5,3,5,3,2,3,3,3,3,2,2,2,2,2,1,1,0.25,0.0833333333333333,0.75,0.25,0.5,0.4375,0.397058823529412,1.5,3,3,3,3,3,3,1,0,0,0,0,0,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,0.75,0.0416666666666667,54,1,0.75,0.75,4,1,1,0,0.5,0,1,0,0,48,,TRUE,FALSE,FALSE,0.4,6820000,90,4e+05,FALSE
"353","21910907","uuid:c9e72634-1439-41bf-8888-391fffd983be","1","1",1,3,66,1,"ninguno",35.6,1880.4,0,0.8,0.4,0.2,0.2,0.2,0,0,0.6,5,1,0.2,0,0.2,0,0.2,0.2,0.2,0.4,0.4,0,0.2,0.4,0.6,0.2,0,0.2,0.4,0.4,178,0,3,0,0,,0.333333333333333,,0,1,0,0,1,0,0,5,1,FALSE,FALSE,0,1,1,0,1,4,6,3,1,1,,3,0,1,1,,,1,,5,1,3,5,1,0,,1,100,,50000000,5,1,,,"1",,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0.2,0.2,0,0,,0,,0.2,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,2,3,4,2,5,4.5,4.5,4,4.5,4,3.5,4,3.5,4.5,4.5,5,2.5,2,2,2,0.78125,0.25,0.875,0.25,0.75,0.71875,0.661764705882353,1.8,3,3,3,3,3,3,1,1,0,0,1,0,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,0.75,0.125,54,0.833333333333333,0.75,1,4,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,24,TRUE,FALSE,FALSE,0.833333333333333,6820000,40,4e+05,TRUE
"354","21912116","uuid:5f637a8a-4449-46b3-90c3-fa9400e5c5fa","1","1",1,2,54,0,"primaria_o_menos",32.5,1411,0,0.5,0,0.75,0,0.25,0,0,0.75,4,0,0,0,0.25,0.25,0,0.5,0,0.25,0.25,0.25,0.5,0,0.75,0,0,0.5,0.5,0,130,0,3,1,0,,0.333333333333333,0,0,1,0,0,1,0,0,4,1,FALSE,FALSE,0,1,0,0,1,,7,3,1,1,,3,0,1,1,,1,1,1,5,1,3,3,1,1,1,2,80,1,30000000,5,1,,1,"1",,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.5,0,,0,,0,0,,0,,,0,,0,0,,0,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,3,5,3,3,5,1,4,4,3,4,3,3,4,5,4,3,2,2,2,2,0.5,0.25,0.625,0.5,0.75,0.6875,0.544117647058823,1.5,4,4,4,4,3,4,0,1,1,1,1,1,4,4,3,4,4,4,3,3,4,4,5,5,5,5,4,5,0.958333333333333,0.208333333333333,60,0.958333333333333,0.958333333333333,0.875,4,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,48,TRUE,FALSE,FALSE,0.571428571428571,5115000,60,3e+05,FALSE
"355","21954148","uuid:5d7a6b4b-1aa7-4f7e-befc-b3d29673072c","1","1",1,3,83,1,"ninguno",47,2845.5,0.25,0.75,0.25,0.25,0.25,0.25,0,0,0.5,4,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.5,0.25,1,0.25,0.25,0.25,0.25,0.5,188,0,4,2,0,0,0.25,0.5,0,1,0,0,1,0,0,4,1,FALSE,FALSE,0,1,0,0,1,,5,1,1,1,,3,0,4,1,,2,0.5,1,5,1,3,3,1,1,4,1,100,1,30000000,2,1,,0,"1",,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,1,,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,3,3,2,1,4,5,5,5,1,5,4,4,3,3,4,5,4,5,5,2,2,2,0.875,0.25,0.75,1,0.75,0.6875,0.691176470588235,1.75,1,1,1,1,1,1,0,0,0,1,1,0,2,2,2,2,2,4,0,0,0,0,2,2,2,2,2,2,0.25,0.0833333333333333,20,0.583333333333333,0.25,0,2,0.75,0.75,0.25,0.25,0.25,0.5,0.25,0,55,0,TRUE,TRUE,FALSE,0.8,6820000,35,4e+05,TRUE
"356","21969109","uuid:7666a741-5888-4fd8-8436-6736fcce3090","0","0",1,1,61,1,"primaria_o_menos",44.5,2252.5,0,0.5,0,1,0,0,0,0,1,2,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,0,89,0,2,1,0,,0.5,0,0,1,0,0,1,0,0,2,1,FALSE,FALSE,0,1,1,0,1,4,3,2,1,1,,3,0,2,1,,,0.5,,2,0,2,1,1,0,,2,100,,40000000,4,1,,,"0",,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,,,,0,,0,0,,,,,0,,0,0,,,0,0,0,0,0,0,0,,,,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,2,2,3,4,3,5,5,5,5,5,4,4,5,3,5,4,5,3,2,2,2,0.8125,0.25,1,0.5,0.75,0.8125,0.735294117647059,1.5,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,0.75,0.25,54,1,0.75,0.75,4,1,1,0.5,0,0.5,0.5,0.5,0,,0,TRUE,TRUE,FALSE,0.666666666666667,3410000,25,2e+05,FALSE
"357","21977327","uuid:700e1f86-7244-467e-912d-45afed18aec5","1","1",1,3,79,1,"primaria_o_menos",53,3485,0,0.5,0,0.5,0,0.5,0,0,0.5,2,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,106,0,2,1,0,0,0.5,1,0,1,1,1,0,0,1,2,1,FALSE,FALSE,0,1,0,0,1,4,6,3,1,1,,4,0,2,1,,,0,,2,0,2,1,1,0,,2,10,,60000000,4,1,,,"1",,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,,,,0,,0,,0.5,,,,0,,0,,0,,0,0,0,0,0,0,0,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,3,5,3,4,4,2,2,2,3,3,3,4,4,3,3,3,3,3,3,1,1,1,0.5,0,0.375,0.25,0.75,0.5625,0.397058823529412,1.5,4,4,4,3,3,4,1,0,1,1,1,0,1,4,1,3,4,4,3,3,4,4,5,5,5,4,4,5,0.916666666666667,0.166666666666667,53,0.708333333333333,0.916666666666667,0.875,4,0,0,0.5,0.5,0.5,0,0,0,72,0,FALSE,FALSE,FALSE,0.333333333333333,5115000,48,3e+05,TRUE
"358","21977805","uuid:7f6a7bd7-0512-45d2-b9a0-9ba898186efd","0","0",1,1,60,1,"primaria_o_menos",37.25,1729.75,0,0.375,0.125,0.75,0.125,0,0,0,0.875,8,0,0,0,0.125,0.25,0.125,0.375,0.125,0.125,0.125,0.25,0.375,0.25,0.875,0.125,0,0.375,0.25,0.375,298,0.25,7,2,0.2,0.5,0.714285714285714,1,0.5,1,0,0,1,0,0.5,8,4,TRUE,TRUE,0,1,1,0,1,4,2,6,2,2,,4,0,1,1,,,0.375,,3,0,4,1,1,0,,3,50,,50000000,5,1,,,"0",,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0.125,0.375,0.125,,0,,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,2,2,3,4,2,5,4,4,4,4,4,4,3,4,5,4,3,3,2,2,2,0.625,0.25,0.8125,0.25,0.75,0.75,0.617647058823529,1.375,3,3,3,3,3,3,1,1,1,1,1,1,2,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,0.75,0.25,52,0.916666666666667,0.75,0.75,4,0.285714285714286,0.285714285714286,0.571428571428571,0.285714285714286,0.571428571428571,0.285714285714286,0,0,0,116,TRUE,FALSE,FALSE,4,8525000,42,5e+05,TRUE
"359","22015124","uuid:4936b104-4b5f-4952-9f08-6592302d4d68","0","0",1,1,71,1,"primaria_o_menos",44.25,2205.25,0,0.25,0.25,0.25,0.5,0,0,0,0.5,4,0,0,0,0,0,0.75,0,0.25,0,0,0,0.75,0.25,1,0.25,0.25,0.75,0.25,0,177,1,4,0,0.333333333333333,,0.75,,0,1,0,0,0.5,0,1,4,2,TRUE,TRUE,0,1,0,0,1,5,3,2,1,1,,3,0,2,1,,,0,,3,0,4,2,1,0,,1,100,,30000000,4,1,,,"0",,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,,,,0,,0,,0,,,,0,,0,,0,,0,0,0,0,0,0,0,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,2,3,5,3.5,3.5,4,4,4.5,4,3.5,2,4,4,4,4,3.5,3.5,1.5,1.5,1.5,0.6875,0.125,0.75,0.625,0.625,0.625,0.580882352941177,1.25,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,0.75,0.25,55,1,0.75,0.8125,4,0.5,0.5,0.5,0.25,0.5,0.5,0,0,0,8,TRUE,FALSE,FALSE,1.33333333333333,7672500,77,450000,TRUE
"360","22032152","uuid:0bb2edb5-f7ee-45c4-b941-f8c720a6b0b4","1","1",1,2,56,1,"primaria_o_menos",40,1856,0,1,0,0.5,0,0,0.5,0,0.5,2,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,1,0,0,0.5,0.5,0,80,0,2,1,0,0,0.5,1,1,1,0,0,0,1,1,2,1,FALSE,FALSE,0,1,0,0,1,4,8,3,2,2,,3,0,3,1,,1,0.5,1,2,0,3,1,1,1,1,1,50,1,20000000,3,1,,1,"1",,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,,,,0,0,,0,,,,,0,0,,0,,,0,0,0,0,0,0,0,,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,3,4,2,5,3,3,3,3,4,3,3,3,3,4,1,3,2,2,2,0.4375,0.25,0.625,0.25,0.75,0.5,0.470588235294118,2,3,,,3,3,3,1,1,0,0,0,0,2,4,2,2,2,4,4,4,3,2,4,,,4,4,4,,0.0833333333333333,,0.666666666666667,,0.8125,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,69,30,TRUE,FALSE,FALSE,0.25,5115000,60,3e+05,FALSE
"361","22103917","uuid:2474d398-a08f-4200-9934-794f1c6e2d5d","1","1",1,2,61,1,"primaria_o_menos",28.1666666666667,1108.5,0,0.5,0,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,6,0,0,0.333333333333333,0.166666666666667,0,0.333333333333333,0.166666666666667,0,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0,0,0.333333333333333,0.166666666666667,0.5,169,0,5,2,0,,0.4,0,0.5,1,1,0,0.5,0.5,1,6,2,FALSE,FALSE,0,1,0,1,1,,7,3,2,2,,3,0,2,1,,1,0.833333333333333,0,4,0,4,5,1,1,1,1,80,0,120000000,4,1,,1,"1",,0.5,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0.5,0,0.166666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0.166666666666667,0,,0.166666666666667,0,0,,0.166666666666667,0.166666666666667,,,0,0,0,,0,0,,,0.166666666666667,0,0,0,0,0,0,,0.166666666666667,0.166666666666667,0.166666666666667,,0,0,,,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0,0,1,,1,1,1,0,0,0,0,1,4,1,1,0,1,0,0,3,4,4,1,3,2,5,5,5,5,5,3,4,3,4,4,5,4,5,2,2,2,0.9375,0.25,1,0.25,0.5,0.6875,0.705882352941177,1.5,3,2,1,4,0,3,1,0,0,1,1,0,0,0,2,3,3,4,4,3,3,2,4,3,2,5,1,4,0.541666666666667,0.125,37,0.5,0.541666666666667,0.75,3,0.4,0.4,0.4,0,0.4,0,0.4,0,,0,FALSE,TRUE,FALSE,0.857142857142857,10230000,90,6e+05,FALSE
"362","22108850","uuid:15b96047-3d92-4f42-875e-d2ea24621cdb","1","1",1,3,62,1,"primaria_o_menos",25,914.111111111111,0,0.555555555555556,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,9,1,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0,0.444444444444444,0.333333333333333,0.222222222222222,0.333333333333333,0.111111111111111,0.555555555555556,0,0,0.333333333333333,0.111111111111111,0.555555555555556,225,0,6,2,0,0,0.333333333333333,0.5,0.5,1,0,0,0,0,0.5,9,2,FALSE,FALSE,0,1,0,0,1,,8,3,2,2,,3,0,2,1,,2,0.555555555555556,1,4,0,3,4,1,1,5,5,20,1,50000000,4,1,,0,"1",,0,0.111111111111111,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,2,2,4,3,4,5,5,4,3,4,4,4,2,3,5,1,2,2,2,2,0.4375,0.25,0.875,0.5,0.75,0.5625,0.558823529411765,1.55555555555556,4,3,1,0,3,4,0,1,1,1,1,1,4,4,4,4,1,1,3,4,4,2,5,4,2,1,4,5,0.625,0.208333333333333,46,0.75,0.625,0.8125,3,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0,0,35,20,TRUE,FALSE,FALSE,1.125,8525000,90,5e+05,FALSE
"363","22139441","uuid:6236cd6d-1eb5-4957-b3f1-be94738c38b9","1","1",1,2,70,1,"primaria_o_menos",29.6666666666667,1697.66666666667,0,0.666666666666667,0,1,0,0,0,0,1,3,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,89,,1,0,,,0,,,,,,,,,3,0,,,0,1,1,0,1,4,5,2,1,1,,3,0,2,1,,,0,,5,1,2,3,1,0,,3,100,,20000000,4,1,,,"1",,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,,0,,0,,,,0,,0,,0,,,,0,,0,0,0,0,0,0,0,,0,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,2,2,5,4,2,3,3,3,3,2,4,2,4,2,4,2,2,3,1,1,1,0.3125,0,0.5,0.25,0.75,0.5,0.367647058823529,1.66666666666667,3,3,3,3,3,3,1,1,1,1,1,1,2,2,3,3,3,3,1,4,4,4,4,4,4,4,4,4,0.75,0.25,47,0.666666666666667,0.75,0.8125,3,1,1,0,1,0,1,0,0,0,,TRUE,FALSE,FALSE,0.6,5115000,50,3e+05,TRUE
"364","22187123","uuid:f34aa569-3b05-4e1c-9283-d4869a2e8f58","0","0",1,1,59,1,"ninguno",59,3481,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,59,,1,0,,,0,,,,,,,,,1,0,,,0,1,0,0,1,4,5,2,1,1,,3,0,2,1,,2,1,1,4,0,7,3,1,1,6,3,50,1,40000000,4,1,,0,"0",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,0,,,0,,,,,0,,,0,,,0,0,0,0,0,0,0,,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,3,4,2,3,3,3,4,3,4,3,3,4,3,3,3,3,1,1,1,0.5,0,0.5625,0.25,0.75,0.5625,0.441176470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,0,60,,TRUE,FALSE,FALSE,0.2,5115000,60,3e+05,FALSE
