"","field_1","start_p10","lon","lat","altitude","dpto_ccdgo","mpio_ccdgo","zu_ccdgo","zu_cdivi","setu_ccdgo","setu_ccnct","secu_ccdgo","secu_ccnct","manz_ccdgo","manz_ccnct","cod_ctstr","manz_narea","manz_lati","manz_long","shape_Leng","shape_Area","MANZ_VIV","FT_ACT_VIV","Municipio"
"385",49,1017266133,-75.5407679,6.2428402,1756,"05","001","000","05001000","0808","050011000000000808","01","05001100000000080801","56","0500110000000008080156","050010811071",1279.58260169,6.24300825614,-75.5408277006,0.00140674439,1.0449e-07,66,"VIV_CNPV2018","Medellin"
"386",50,1017269447,-75.5388430682562,6.2391089985383,1699,"05","001","000","05001000","0809","050011000000000809","02","05001100000000080902","14","0500110000000008090214","050010813049",2801.46235256,6.2392199192,-75.5387370701,0.00246306487,2.2877e-07,50,"VIV_CNPV2018","Medellin"
"387",51,1017269998,-75.539527,6.2532773,1940,"05","001","000","05001000","9061","050011000000009061","03","05001100000000906103","16","0500110000000090610316","050010806025",7362.72836717,6.25350636423,-75.5391734359,0.00343133923,6.0125e-07,38,"VIV_CNPV2018","Medellin"
"388",53,1020482801,-75.5374028,6.24911777,1947,"05","001","000","05001000","9061","050011000000009061","06","05001100000000906106","21","0500110000000090610621","0500109008000",1134.69777965,6.24920529926,-75.5375034941,0.00127534564,9.266e-08,21,"RECUENTO 2023","Medellin"
"389",54,1022094431,-75.5473374,6.3002755,1652,"05","001","000","05001000","0103","050011000000000103","03","05001100000000010303","20","0500110000000001030320","050010103051",3444.74164322,6.30024733912,-75.547203297,0.0038231634,2.8132e-07,109,"RECUENTO 2020","Medellin"
"390",55,1022124557,-75.5391703,6.24344915,1773,"05","001","000","05001000","0808","050011000000000808","05","05001100000000080805","03","0500110000000008080503","0500109008000",2014.19392101,6.2435811752,-75.5392498744,0.00243584376,1.6448e-07,40,"VIV_CNPV2018","Medellin"
"391",56,1022125326,-75.5392076,6.24339544,1773,"05","001","000","05001000","0808","050011000000000808","05","05001100000000080805","03","0500110000000008080503","0500109008000",2014.19392101,6.2435811752,-75.5392498744,0.00243584376,1.6448e-07,40,"VIV_CNPV2018","Medellin"
"392",58,10239436,-75.551887,6.2891901,1598,"05","001","000","05001000","0105","050011000000000105","05","05001100000000010505","16","0500110000000001050516","050010105009",2087.97026178,6.28931530994,-75.5518568925,0.00207534314,1.7052e-07,43,"VIV_CNPV2018","Medellin"
"393",60,1025665487,-75.5411153,6.2431783,1729,"05","001","000","05001000","0808","050011000000000808","01","05001100000000080801","57","0500110000000008080157","050010811066",1080.15366013,6.24330273227,-75.5412124756,0.00140964026,8.82e-08,50,"VIV_CNPV2018","Medellin"
"394",61,1026145865,-75.5379789257305,6.25421042908976,1561,"05","001","000","05001000","9061","050011000000009061","04","05001100000000906104","15","0500110000000090610415","0500109008025",1249.74278795,6.25425660416,-75.5378650902,0.00157882621,1.0206e-07,12,"VIV_CNPV2018","Medellin"
"395",63,1033176878,-75.5506163,6.2893568,1623,"05","001","000","05001000","0105","050011000000000105","05","05001100000000010505","05","0500110000000001050505","050010105009",6602.77419807,6.28943956389,-75.5512495684,0.00355682897,5.3922e-07,32,"VIV_CNPV2018","Medellin"
"396",65,1035921080,-75.5519264,6.2882403,1598,"05","001","000","05001000","0106","050011000000000106","03","05001100000000010603","02","0500110000000001060302","050010106031",7040.82953668,6.2880468961,-75.5521337091,0.00478819628,5.7499e-07,111,"RECUENTO 2021","Medellin"
"397",67,1036615312,-75.5478635,6.3002337,1625,"05","001","000","05001000","0103","050011000000000103","03","05001100000000010303","09","0500110000000001030309","050010103035",10736.4076953,6.30041700545,-75.5481804483,0.00800346477,8.7682e-07,243,"RECUENTO 2021","Medellin"
"398",69,1036631758,-75.5505447,6.2985683,1576,"05","001","000","05001000","0203","050011000000000203","03","05001100000000020303","05","0500110000000002030305","050010205005",8463.04444973,6.29891343543,-75.550844898,0.00528678453,6.9115e-07,47,"VIV_CNPV2018","Medellin"
"399",71,1037263422,-75.5398158,6.2532914,1940,"05","001","000","05001000","9061","050011000000009061","03","05001100000000906103","51","0500110000000090610351","0500100806024",939.38207293,6.25320965277,-75.5397013338,0.00131260082,7.671e-08,12,"VIV_CNPV2018","Medellin"
"400",72,10375239,-76.5553256,3.3942012,972,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"401",73,1037570230,-75.5414085,6.243392,1748,"05","001","000","05001000","0808","050011000000000808","01","05001100000000080801","57","0500110000000008080157","050010811066",1080.15366013,6.24330273227,-75.5412124756,0.00140964026,8.82e-08,50,"VIV_CNPV2018","Medellin"
"402",75,1037613164,-75.5498281,6.295234,1637,"05","001","000","05001000","0204","050011000000000204","01","05001100000000020401","12","0500110000000002040112","050010207047",1878.30368727,6.29511113621,-75.5495035042,0.00266673861,1.534e-07,72,"VIV_CNPV2018","Medellin"
"403",76,1039285463,-75.5371594,6.25101725,2017,"05","001","000","05001000","9061","050011000000009061","05","05001100000000906105","05","0500110000000090610505","0500109008004",11535.295185,6.25097320572,-75.5371978042,0.00736685412,9.4198e-07,13,"RECUENTO 2022","Medellin"
"404",77,1039460475,-75.5521524,6.2898108,1598,"05","001","000","05001000","0105","050011000000000105","05","05001100000000010505","25","0500110000000001050525","050010105010",2024.81417385,6.28966226636,-75.5522715333,0.00166351694,1.6536e-07,31,"VIV_CNPV2018","Medellin"
"405",78,1040749440,-75.539324,6.24391966,1773,"05","001","000","05001000","0808","050011000000000808","05","05001100000000080805","04","0500110000000008080504","0500109008000",3504.29126597,6.24352763288,-75.5395834884,0.00357352086,2.8616e-07,50,"OPERATIVO FOCALIZADO 2022","Medellin"
"406",79,1042064849,-75.5396521,6.242411,1743,"05","001","000","05001000","0809","050011000000000809","02","05001100000000080902","26","0500110000000008090226","050010813063",4398.00118548,6.24231400353,-75.5396896467,0.0033143434,3.5914e-07,142,"VIV_CNPV2018","Medellin"
"407",81,1043665208,-74.8153603,10.9534606,51,"08","001","000","08001000","2701","080011000000002701","05","08001100000000270105","12","0800110000000027010512","0800101080156",17573.0440733,10.9529887291,-74.8152854072,0.00844132815,1.4532e-06,126,"VIV_CNPV2018","Baranquilla"
"408",83,1044150889,-75.5255823615081,6.23442378493049,1578,"05","001","000","05001000","9066","050011000000009066","02","05001100000000906602","33","0500110000000090660233","050010817027",3190.9047884,6.23453233867,-75.5255800109,0.00259578862,2.6057e-07,45,"VIV_CNPV2018","Medellin"
"409",86,1045675162,-74.804527,10.939885,61,"08","001","000","08001000","3001","080011000000003001","12","08001100000000300112","08","0800110000000030011208","0000000000000",5828.92542532,10.9401281997,-74.8051089523,0.00383865973,4.82e-07,56,"VIV_CNPV2018","Baranquilla"
"410",88,1045678951,-74.8197709,10.9510058,45,"08","001","000","08001000","3705","080011000000003705","14","08001100000000370514","14","0800110000000037051414","0800101080140",7000.12513928,10.9511623854,-74.8199267112,0.00326491565,5.7887e-07,50,"RECUENTO 2021","Baranquilla"
"411",89,1045679578,-74.8168302,10.9560235,51,"08","001","000","08001000","2701","080011000000002701","02","08001100000000270102","05","0800110000000027010205","0800101080210",14743.3903084,10.9565921606,-74.8163977575,0.00477440952,1.21922e-06,97,"VIV_CNPV2018","Baranquilla"
"412",91,1045684410,-74.8232041,10.9500303,39,"08","001","000","08001000","3705","080011000000003705","02","08001100000000370502","15","0800110000000037050215","0800101080122",4590.84510793,10.9498986116,-74.8229957347,0.0025798143,3.7963e-07,40,"VIV_CNPV2018","Baranquilla"
"413",92,1045685911,-74.814998306746,10.9494240704724,47,"08","001","000","08001000","2701","080011000000002701","07","08001100000000270107","17","0800110000000027010717","0800101080087",14428.5957035,10.94947268,-74.8142524912,0.00677711662,1.19316e-06,84,"RECUENTO 2021","Baranquilla"
"414",93,1045691917,-74.8222657,10.9509957,40,"08","001","000","08001000","3705","080011000000003705","06","08001100000000370506","02","0800110000000037050602","0800101080138",11364.9443368,10.9510233767,-74.8222743244,0.0057863113,9.3982e-07,78,"VIV_CNPV2018","Baranquilla"
"415",95,1045731398,-74.8255998,10.9543161,40,"08","001","000","08001000","3705","080011000000003705","07","08001100000000370507","14","0800110000000037050714","0000000000000",14425.4649765,10.9541758096,-74.8257998335,0.00518812489,1.19291e-06,86,"VIV_CNPV2018","Baranquilla"
"416",99,1045748346,-74.8140885,10.9560779,53,"08","001","000","08001000","2701","080011000000002701","02","08001100000000270102","14","0800110000000027010214","0800101080203",13405.9087965,10.9564758767,-74.8136383705,0.00585239822,1.10862e-06,62,"VIV_CNPV2018","Baranquilla"
"417",100,1045759593,-74.8150529,10.9562596,50,"08","001","000","08001000","2701","080011000000002701","02","08001100000000270102","09","0800110000000027010209","0800101080205",2536.10222635,10.9565848507,-74.8147477485,0.00215385243,2.0973e-07,35,"VIV_CNPV2018","Baranquilla"
"418",101,1046697166,-74.817833,10.929971,68,"08","001","000","08001000","2902","080011000000002902","04","08001100000000290204","18","0800110000000029020418","0800101090227",1566.76137801,10.9296862528,-74.817792219,0.001818748,1.2955e-07,16,"VIV_CNPV2018","Baranquilla"
"419",103,1047048484,-74.8168965,10.9565566,51,"08","001","000","08001000","2701","080011000000002701","02","08001100000000270102","05","0800110000000027010205","0800101080210",14743.3903084,10.9565921606,-74.8163977575,0.00477440952,1.21922e-06,97,"VIV_CNPV2018","Baranquilla"
"420",104,1047217469,-74.81678,10.931921,61,"08","001","000","08001000","2902","080011000000002902","07","08001100000000290207","13","0800110000000029020713","0800101090264",6580.40112334,10.9315296274,-74.8165100142,0.00373296236,5.4413e-07,53,"VIV_CNPV2018","Baranquilla"
"421",105,1047221609,-74.82627,10.9547297,39,"08","001","000","08001000","3705","080011000000003705","07","08001100000000370507","10","0800110000000037050710","0800101080440",5859.80031475,10.9548403358,-74.8262175009,0.0030636528,4.8458e-07,42,"VIV_CNPV2018","Baranquilla"
"422",107,1047223166,-74.822682,10.9505417,39,"08","001","000","08001000","3705","080011000000003705","06","08001100000000370506","02","0800110000000037050602","0800101080138",11364.9443368,10.9510233767,-74.8222743244,0.0057863113,9.3982e-07,78,"VIV_CNPV2018","Baranquilla"
"423",108,1047223432,-74.806267,10.940117,69,"08","001","000","08001000","3001","080011000000003001","11","08001100000000300111","05","0800110000000030011105","0800101070382",4629.85826536,10.9400824041,-74.8064267503,0.00268491005,3.8285e-07,66,"VIV_CNPV2018","Baranquilla"
"424",109,1047226056,-74.8242225,10.9513304,40,"08","001","000","08001000","2602","080011000000002602","09","08001100000000260209","04","0800110000000026020904","0800101120149",2654.27824557,10.9513910669,-74.8245744361,0.00213265618,2.1949e-07,31,"VIV_CNPV2018","Baranquilla"
"425",110,10472271,-76.555840758055,3.39456642005461,1048,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"426",111,1047227573,-74.8170801,10.9490529,57,"08","001","000","08001000","2701","080011000000002701","09","08001100000000270109","01","0800110000000027010901","0000000000000",4360.32054551,10.9492250022,-74.8170778277,0.00246435268,3.6057e-07,26,"VIV_CNPV2018","Baranquilla"
"427",114,1059044849,-76.5553256,3.3942012,972,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"428",115,1059044885,-76.5607287587709,3.38764251418023,956,"76","001","000","76001000","1814","760011000000001814","03","76001100000000181403","15","7600110000000018140315","0000000000000",3639.80480661,3.38779509587,-76.5603190209,0.00327076924,2.9565e-07,18,"VIV_CNPV2018","Cali"
"429",116,1059986053,-76.555840758055,3.39456642005461,975,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"430",117,1060102242,-76.5553256,3.3942012,972,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"431",119,1062297779,-76.555840758055,3.39456642005461,1048,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
"432",121,1067094968,-75.5384197,6.23895188,1699,"05","001","000","05001000","0809","050011000000000809","02","05001100000000080902","09","0500110000000008090209","050010814007",3055.22897949,6.23883503454,-75.5381409303,0.00304065871,2.4949e-07,64,"VIV_CNPV2018","Medellin"
"433",122,1067461300,-76.5553256,3.3942012,972,"76","001","000","76001000","1811","760011000000001811","01","76001100000000181101","26","7600110000000018110126","0000000000000",8579.00002304,3.39455043038,-76.5554491794,0.00330628441,6.9685e-07,156,"VIV_CNPV2018","Cali"
